"ID","select_reject_by (Wim/Christophe)","notes (Wim/Christophe)","select_reject_by (Kural)","notes kural","title","abstract","source_type","year","database","journal","volume","issue","start_page","end_page","doi","issn"
98," "," "," "," ","towards simulating criminal offender movement based on insights from human dynamics and locationbased social networks","Interest in data-driven crime simulations has been growing in recent years, confirming its potential to advance crime prevention and prediction. Especially, the use of new data sources in crime simulation models can contribute towards safer and smarter cities. Previous work on agent-based models for crime simulations have intended to simulate offender behavior in a geographical environment, relying exclusively on a small sample of offender homes and crime locations. The complex dynamics of crime and the lack of information on criminal offender’s movement patterns challenge the design of offender movement in simulations. At the same time, the availability of big, GPS-based user data samples (mobile data, social media data, etc.) already allowed researchers to determine the laws governing human mobility patterns, which, we argue, could inform offender movement. In this paper, we explore: (1) the use of location-based venue data from Foursquare in New York City (NYC), and (2) human dynamics insights from previous studies to simulate offender movement. We study 9 offender mobility designs in an agent-based model, combining search distances strategies (static, uniform distributed, and Lévy-flight approximation) and target selection algorithms (random intersection, random Foursquare venues, and popular Foursquare venues). The offender behavior performance is measured using the ratio of crime locations passed vs average distance traveled by each offender. Our initial results show that agents moving between POI perform best, while the performance of the three search distance strategies is similar. This work provides a step forward towards more realistic crime simulations. © 2017, Springer International Publishing AG.","CONF","2017","Google Scholar","Social Informatics: 9th International Conference, SocInfo 2017, Oxford, UK, September 13-15, 2017, Proceedings, Part II 9","10540 LNCS",NA,"458","465","10.1007/978-3-319-67256-4_36","331967255X"
99," "," "," "," ","offender characteristics and spatial mobility an empirical study and some policy implications",NA,"CHAP","2017","Google Scholar",NA,NA,NA,"55","70",NA,NA
100," "," "," "," ","identification of environmental cues and decisionmaking strategies of residential burglars",NA,"JOUR","2017","Google Scholar","International Journal of Architectural Engineering Technology","4",NA,"33","42",NA,"2409-9821"
101," "," "," "," ","crime mapping and spatial analysis",NA,"CHAP","2024","Google Scholar",NA,NA,NA,NA,NA,NA,NA
102," "," "," "," ","estimating the determinants of household residential location choice using a multinomial discrete choice model",NA,"DISS","2001","Google Scholar",NA,NA,NA,NA,NA,NA,NA
103," "," "," "," ","analyzing housing supply location choice a comparative study of the modelling frameworks",NA,"JOUR","2024","Google Scholar","Scientific Reports","14","1","1435",NA,NA,"2045-2322"
104," "," "," "," ","leveraging mobility flows from location technology platforms to test crime pattern theory in large cities","Crime has been previously explained by social characteristics of the residential population and, as stipulated by crime pattern theory, might also be linked to human movements of nonresidential visitors. Yet a full empirical validation of the latter is lacking. The prime reason is that prior studies are limited to aggregated statistics of human visitors rather than mobility flows and, because of that, neglect the temporal dynamics of individual human movements. As a remedy, we provide the first work which studies the ability of granular human mobility in describing and predicting crime concentrations at an hourly scale. For this purpose, we propose the use of data from location technology platforms. This type of data allows us to trace individual transitions and, therefore, we succeed in distinguishing different mobility flows that (i) are incoming or outgoing from a neighborhood, (ii) remain within it, or (iii) refer to transitions where people only pass through the neighborhood. Our evaluation infers mobility flows by leveraging an anonymized dataset from Foursquare that includes almost 14.8 million consecutive check-ins in three major U.S. cities. According to our empirical results, mobility flows are significantly and positively linked to crime. These findings advance our theoretical understanding, as they provide confirmatory evidence for crime pattern theory. Furthermore, our novel use of digital location services data proves to be an effective tool for crime forecasting. It also offers unprecedented granularity when studying the connection between human mobility and crime. Copyright © 2020, Association for the Advancement of Artificial Intelligence (www.aaai.org). All rights reserved.","JOUR","2020","Google Scholar","Proceedings of the international AAAI conference on web and social media","14",NA,"339","350",NA,"1577357884"
105," "," "," "," ","extreme ideologies situational factors and terrorists target selection",NA,"BOOK","2020","Google Scholar",NA,NA,NA,NA,NA,NA,"9798645446062"
106," "," "," "," ","factors influencing the location choice of car dealers in romania",NA,"JOUR",NA,"Google Scholar",NA,NA,NA,NA,NA,NA,NA
107," "," "," "," ","familiarity and activity similarity in crime location choice",NA,"JOUR",NA,"Google Scholar","Research Commons at the University of Waikato Copyright Statement",NA,NA,"110",NA,NA,NA
108," "," "," "," ","permeability across a metropolitan area conceptualizing and operationalizing a macrolevel crime pattern theory",NA,"JOUR","2014","Google Scholar","Environment and Planning A","46","1","129","152",NA,"0308-518X"
109," "," "," "," ","analyzing organized crimes",NA,"JOUR","2002","Google Scholar","Rational choice and criminal behavior: Recent research and future challenges","32",NA,"41","63",NA,NA
110," "," "," "," ","comparison between virtual reality and image as an experimental tool for studying burglars target selection of residence",NA,"JOUR","2021","Google Scholar","Journal of the Architectural Institute of Korea","37","5","77","88",NA,"2733-6239"
111," "," "," "," ","the journeytocrime buffer zone measurement issues and methodological challenges",NA,"JOUR","2024","Google Scholar","Journal of Criminal Justice","95",NA,"102272",NA,NA,"0047-2352"
112," "," "," "," ","target selection in robbery an exploratory investigation",NA,"JOUR","1987","Google Scholar",NA,NA,NA,NA,NA,NA,NA
113," "," "," "," ","the individual perspective",NA,"BOOK","2018","Google Scholar",NA,NA,NA,NA,NA,NA,NA
114," "," "," "," ","statistical analysis of spatial crime data",NA,"JOUR","2010","Google Scholar","Handbook of quantitative criminology",NA,NA,"699","724",NA,"0387776494"
115," "," "," "," ","spatial patterns in serial murder a conceptual model of disposal site location choice",NA,"BOOK","1998","Google Scholar",NA,NA,NA,NA,NA,NA,"9798381557350"
116," "," "," "," ","an empirical study on the terrorists target selection the turkish case","Employing a quantitative technique on a large sample size (N=4996), this study aimed to understand spatial and temporal distribution of terrorist incidents in Istanbul, Turkey by a specific focus on targets. Rational choice, crime pattern, social disorganization, and routine activity theories covered the theoretical background. A number of determinants of terrorist incidents were tested on terrorists' target selection. Week days, type of offences, and type of terrorist organizations were found to have an important impact on target selection. Some terrorist groups, several types of offences and weekend days were found to be determinative on specific targets. Theories that were used to examine the relationship between target selection and other variables were statistically supported. In this regard, current study not only made an invaluable contribution to discussed theories in general, but also offered some practical solutions for law enforcement and public administration agencies.","CPAPER","2011","Google Scholar",NA,"87",NA,"175","188","10.3233/978-1-60750-824-3-175",NA
